Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,organization,Gender,Gender encode
Jeffrey Stylos,Unknown affiliation,21,25,2044,611,,female,0
Robert Ball,"Associate Professor, Weber State University",16,18,2038,445,State University,female,0
Mike Just,"Associate Professor, Computer Science, Heriot-Watt University",21,42,2033,587,Heriot-Watt University,male,1
Yuta Sugiura,"Associate Professor, Department of Information and Computer Science, Keio University",22,46,2032,1269,Keio University,female,0
Ting-Hao 'Kenneth' Huang,"Assistant Professor, Pennsylvania State University",21,31,2030,1678,Pennsylvania State University,female,0
Chris Paton,"Group Head, Global Health Informatics, University of Oxford",25,47,2025,1430,University of Oxford,male,1
Brandon Rothrock,Paige,17,24,2021,1236,,female,0
Carine Lallemand,Eindhoven University of Technology & University of Luxembourg,21,41,2017,1693,Eindhoven University of Technology & University of Luxembourg,female,0
Jessie L Oliver,Queensland University of Technology,15,19,2017,1921,Queensland University of Technology,male,1
Suziah Sulaiman,Universiti Teknologi PETRONAS,21,43,2008,964,,female,0
Jaka Sodnik,"Professor of Electrical Engineering, University of Ljubljana",20,44,2006,1104,University of Ljubljana,female,0
Dr. Benjamin Stodt,Leibniz Research Centre for Working Environment and Human Factors,7,7,1993,1714,,female,0
Jiyoung Kwahk,Taejae University,20,38,1991,665,Taejae University,female,0
Jelle Saldien,"Professor Design Engineering, imec, University of Antwerp",22,43,1990,1145,University of Antwerp,male,1
Warren Sack,"Professor, University of California Santa Cruz",20,33,1988,351,University of California,female,0
Agnes Lisowska Masson,"Researcher, University of Fribourg",12,13,1987,912,"Researcher, University of Fribourg",male,1
Lucio Tommaso De Paolis,"Docente di Informatica, Università del Salento",22,66,1986,1362,,male,1
Qianli Xu,Scientist (Institute for Infocomm Research),21,37,1981,953,Institute for Infocomm Research,female,0
Os Keyes,University of Washington,19,26,1981,1840,University of Washington,female,0
Matthias Wölfel,"Karlsruhe University of Applied Sciences, University of Hohenheim, and ColorfulBit",22,48,1976,641,Karlsruhe University of Applied Sciences,female,0
"ZHOU ZhiYing, Steven",National University of Singapore,24,41,1972,597,National University of Singapore,female,0
Abdallah Alsaad,"Associate professor of electronic business, Jadara university; University of Hafr Al batin",22,26,1970,1859,Jadara university,female,0
Janet Davis,"Professor and Microsoft Chair of Computer Science, Whitman College",20,32,1967,616,Whitman College,female,0
Steven Houben,"Associate Professor, Eindhoven University of Technology",24,36,1964,1478,Eindhoven University of Technology,female,0
Nikiforos Karamanis,European Bioinformatics Institute,17,23,1964,1022,European Bioinformatics Institute,male,1
Jonathan Hook,"Professor of Interactive Media, University of York, UK",21,37,1961,878,University of York,male,1
Paul Calder,"Associate Professor of Computer Science, Flinders University",18,26,1958,154,Flinders University,male,1
Ofra Amir,Technion IE&M,18,27,1957,1537,,male,1
Ann Fruhling,University of Nebraska Omaha,22,34,1957,997,University of Nebraska,female,0
Aqdas Malik,"Assistant Professor, Sultan Qaboos University, Oman",17,23,1954,1716,Sultan Qaboos University,male,1
Hao-Chuan Wang,"University of California, Davis",22,47,1953,1002,University of California,male,1
Sandip Chakraborty,"Associate Professor, Indian Institute of Technology Kharagpur",21,58,1953,1495,Indian Institute of Technology Kharagpur,female,0
Erik Grönvall,"Associate Professor, IT University of Copenhagen",24,42,1951,995,IT University of Copenhagen,male,1
Bill Manaris,"Professor of Computer Science, College of Charleston",22,40,1951,540,College of Charleston,female,0
A'ang Subiyakto,"Associate Professor in Information Systems, UIN Syarif Hidayatullah Jakarta",21,39,1951,1449,,male,1
Simon Mayer,University of St.Gallen,20,36,1951,1086,University of St.Gallen,male,1
Luis A. Leiva,University of Luxembourg,22,51,1947,1232,University of Luxembourg,female,0
Kotaro Hara,Singapore Management University,18,23,1947,1572,Singapore Management University,female,0
Georgios Kouroupetroglou,"Professor, National and Kapodistrian University of Athens",24,66,1944,659,National and Kapodistrian University of Athens,female,0
Christopher Power,"University of Prince Edward Island, AbleGamers Charity, McMaster University (Adjunct)",22,45,1939,1092,University of Prince Edward Island,male,1
Kayur Patel,"Research Scientist, Apple",20,23,1933,1025,,male,1
Samuel A. Inverso,"Wyss Institute, Harvard University",11,12,1930,1066,Wyss Institute,female,0
Deepak Sahoo,Swansea University,20,29,1929,1214,Swansea University,male,1
Vincenzo Deufemia,"Associate Professor of Computer Science, University of Salerno",26,54,1929,831,,female,0
Jon Pearce,"Retired Senior Fellow, Computing and Information Systems, The University of Melbourne",22,34,1927,819,The University of Melbourne,female,0
Roberto González-Ibáñez,"Associate Professor, Departamento de Ingeniería Informática, Universidad de Santiago de Chile",16,22,1923,909,,male,1
Giulio Mori,"Researcher ISTI - CNR, Pisa, Italy",14,17,1920,218,,male,1
Ben Hanrahan,Microsoft,21,36,1919,1291,,female,0
Katherine M Tsui,"Yale University, Postdoctoral Associate",26,37,1913,838,Yale University,female,0
Pradipta Biswas,Indian Institute of Science,23,59,1913,1111,Indian Institute of Science,female,0
Johann Schrammel,"Scientist, AIT Austrian Institute of Technology, Vienna",22,40,1913,928,AIT Austrian Institute of Technology,male,1
David Holman,Intel Corporation,18,28,1912,586,,male,1
Mario Silic,Swiss School of Business and Management,21,32,1909,1455,Swiss School of Business and Management,male,1
Hanhoon Park,"Assistant Professor of Electronic Engineering, Pukyong National University",21,51,1908,561,Pukyong National University,female,0
Pedro F. Campos,"ITI, LARSyS, University of Madeira",19,41,1908,1199,"LARSyS, University of Madeira",female,0
Shuo Chang,University of Minnesota,15,17,1900,1033,University of Minnesota,female,0
Caroline Appert,"Université Paris Saclay, CNRS",24,39,1897,728,,male,1
Md Monsur Hossain,"Research Assistant, Western Washington University",19,48,1896,1077,Western Washington University,male,1
Carol L. Boston,"Faculty Specialist, University of Maryland",12,16,1893,735,Faculty Specialist,male,1
Alejandro Catalá,"electronics and computing department, Research Center in Intelligent Technologies of University of",21,37,1891,1089,Research Center in Intelligent Technologies of University of,female,0
Tuba Bakici,Associate Professor,12,13,1891,1252,,male,1
Julie R. Williamson,"Senior Lecturer in HCI (Associate Professor), Computing Science, University of Glasgow",23,50,1889,1324,University of Glasgow,female,0
Víctor López-Jaquero,"LoUISE Research Group, Universidad de Castilla-La Mancha",22,38,1887,440,,female,0
Ignacio Alvarez,Intel Corporation,22,49,1887,1624,,male,1
Danding Wang,"Institute of Computing Technology, Chinese Academy of Sciences",9,9,1887,1852,Institute of Computing Technology,male,1
Niloufar Salehi,"Assistant Professor, UC-Berkeley",21,26,1886,1452,,female,0
Mohammad Obaid,"Associate Professor of HCI, Dept. Computer Science & Engineering, Chalmers University of Technology",26,47,1886,1406,Chalmers University of Technology,male,1
Yoram M Kalman,"Associate professor, The Open University of Israel",19,30,1878,703,The Open University of Israel,female,0
Jan-Are K. Johnsen,"Associate Professor, Dept for Clinical Dentistry, University of Tromsø",17,26,1877,881,University of Tromsø,female,0
Costin Pribeanu,National Institute for Research & Development in Informatics - ICI Bucharest,22,40,1874,848,National Institute for Research & Development,female,0
Maria Spichkova,"School of Computing Technologies, RMIT University, Australia",23,67,1869,848,School of Computing Technologies,male,1
Chin-Yi Cheng,Google Research,17,24,1868,1656,,male,1
Pascal Knierim,"Assistant Professor of Computer Science, University of Innsbruck",19,34,1866,1677,University of Innsbruck,male,1
Roslina Ibrahim,"PhD, Associate Professor",21,43,1865,1400,,female,0
Mauro Cherubini,University of Lausanne,20,31,1864,735,University of Lausanne,female,0
Rod McCall,Luxembourg Institute of Science and Technology,23,34,1863,874,Luxembourg Institute of Science and Technology,female,0
Norman Makoto Su,"Associate Professor of Computational Media, UC Santa Cruz",27,49,1862,1265,,female,0
Haiyan Jia,Lehigh University,17,19,1862,1290,Lehigh University,female,0
Sergiu Dascalu,"Professor, Computer Science and Engineering, University of Nevada Reno",20,52,1861,767,University of Nevada,female,0
Katrin Wolf,Berlin University of Applied Sciences for Technology (BHT),23,47,1861,1381,Berlin University of Applied Sciences for Technology,male,1
Stefano Faralli,Sapienza University of Rome,20,33,1859,1004,Sapienza University of Rome,male,1
Ronald Metoyer,University of Notre Dame,22,42,1859,706,University of Notre Dame,female,0
A. Fleming Seay,"Adjunct Professor, University of Texas at Austin",11,13,1859,639,University of Texas,male,1
Mari-Carmen Marcos,"Professor of Information and Libray Sciences, Universitat Pompeu Fabra",24,41,1856,620,,female,0
Rahul Swaminathan,Scientist and Manager,16,20,1855,263,,male,1
Thomas Riisgaard Hansen,Aarhus University,18,21,1852,261,Aarhus University,male,1
Yuhang Zhao,"Computer Sciences, University of Wisconsin-Madison",23,33,1851,1597,University of Wisconsin-Madison,male,1
Viktoria Pammer-Schindler,"Associate Professor, Graz University of Technology",24,54,1850,970,Graz University of Technology,female,0
Pinaki Chakraborty,"Department of Computer Science and Engineering, Netaji Subhas University of Technology, New Delhi",19,35,1850,1640,Netaji Subhas University of Technology,male,1
Gavin Sim,University of Central Lancashire,22,42,1849,978,University of Central Lancashire,male,1
Brent Reeves,"Associate Professor, Abilene Christian University",19,30,1848,491,Abilene Christian University,male,1
Ana Isabel Molina,Universidad de Castilla-La Mancha,20,45,1847,1016,,female,0
Daniel Schulman,Philips Research North America,18,22,1846,954,,male,1
Hussein Al Osman,Associate Professor - University of Ottawa,23,37,1846,1323,,female,0
Thorsten Prante,"Technical Business Development Expert, abcg GmbH",16,19,1843,230,,male,1
Joshua Sunshine,"Assistant Professor, Carnegie Mellon University",20,31,1836,913,Carnegie Mellon University,male,1
Lourdes Moreno,"Associate Professor, Computer Science Department, Universidad Carlos III de Madrid",21,53,1835,979,,female,0
Jeeyun Oh,"Associate Professor, UT Austin",18,31,1835,1384,,female,0
Simone Kriglstein,Masaryk University & AIT Austrian Institute of Technology,23,55,1833,1111,Masaryk University & AIT Austrian Institute of Technology,male,1
Jose A. Gallud,"Professor of Computer Science, University of Castilla-La Mancha",19,40,1832,634,University of Castilla-La Mancha,female,0
Cindy L. Bethel,"Professor of Computer Science and Engineering, Mississippi State University",22,41,1831,1110,Mississippi State University,female,0
Pardis Miri,Stanford University,6,6,1829,392,Stanford University,male,1
manish mehta,Senior Specialist Accenture Technology Labs,23,38,1827,703,,female,0
Sid Ahmed Selouani,"Université de Moncton, campus de Shippagan",23,58,1827,898,,female,0
Meirav Taieb-Maimon,"Senior Lecturer, Software and Information systems Engineering, Ben-Gurion University, Israel",19,23,1826,608,Ben-Gurion University,male,1
Ning Hu,Carnegie Mellon University,13,13,1822,399,Carnegie Mellon University,male,1
Kai Lawonn,"University of Jena, Institute for Computer Science",26,58,1821,1298,"University of Jena,",female,0
Olav W. Bertelsen,"Associate Professor of Computer Science,Aarhus University",22,40,1820,325,Aarhus University,female,0
Alberto Mora,Universitat Oberta de Catalunya,15,16,1819,1444,,female,0
Yasemin Demiraslan Çevik,Hacettepe Üniversitesi,18,27,1818,946,,male,1
Leigh Clark,Bold Insight UK,21,31,1817,1793,,male,1
Anna Kantosalo,"Docent, University of Helsinki",14,16,1814,1510,University of Helsinki,male,1
Ahmed Awad E. A.,University of Washington,15,21,1814,784,University of Washington,female,0
Robert R. Morris,"MIT Media Lab, Massachusetts Institute of Technology",20,22,1813,1209,Massachusetts Institute of Technology,male,1
Nimesha Ranasinghe,"Assistant Professor, University of Maine, USA",24,38,1811,1281,University of Maine,female,0
Stéphane Huot,Senior Researcher (Directeur de Recherche) at Inria,22,37,1809,616,,female,0
Marko Jurmu,"Dr. Tech., Research Team Leader, VTT Technical Research Centre of Finland Ltd.",20,29,1808,541,,male,1
Takashi Miyaki,Unknown affiliation,21,36,1807,612,,male,1
Luigi De Russis,Associate Professor at Politecnico di Torino,24,52,1807,1450,,male,1
Jussi Rantala,"Staff Scientist, Tampere University",23,45,1801,1093,Tampere University,female,0
Md Kamrul Hasan,Computer Science Ph.D. Candidate  @ University of Rochester,18,28,1800,1130,,male,1
Chang Hu,"Human-Computer Interaction Lab, University of Maryland",19,35,1799,473,University of Maryland,male,1
Xavier Ferré,School of Computer Science - Universidad Politecnica de Madrid (UPM),19,30,1798,533,School of Computer Science - Universidad Politecnica de Madrid,male,1
Nam Wook Kim,Boston College,19,22,1797,1488,Boston College,female,0
Pernilla Qvarfordt,"Senior Research Scientist, FX Palo Alto Laboratory",20,29,1794,525,,female,0
Jiajun Lu,UIUC; Stanford,11,11,1793,1346,,male,1
Natalia Romero Herrera,Delft University of Technology,19,35,1790,779,Delft University of Technology,female,0
Danna Gurari,"Assistant Professor, University of Colorado Boulder - Director of Image and Video Computing Group",18,31,1785,1627,University of Colorado,female,0
Mohammad Ghoniem,"Lead Researcher, Luxembourg Institute of Science and Technology",14,15,1783,668,Luxembourg Institute of Science and Technology,female,0
Simon Attfield,"Associate Professor, Middlesex University",18,33,1783,641,Middlesex University,male,1
Fabrizzio Alphonsus Alves de Melo Nunes Soares,Universidade Federal de Goiás,13,21,1780,1656,,female,0
Marcos Serrano,"Associate Professor (HDR),  Head of the ELIPSE group (IRIT Lab), University of Toulouse 3 (France)",22,39,1780,1096,University of Toulouse 3,male,1
Sharon Horwood,"Senior Lecturer, School of Psychology, Deakin University",16,18,1778,1589,School of Psychology,female,0
Panayiotis Koutsabasis,"Associate Professor of Human-Computer Interaction, University of the Aegean",24,45,1776,1079,University of the Aegean,female,0
Gary Fernandes,TD Bank,4,4,1775,524,,male,1
Stephen Lindsay,"Lecturer, Glasgow University",16,20,1774,937,"Lecturer, Glasgow University",male,1
Ebba Thora Hvannberg,University of Iceland,18,25,1774,405,University of Iceland,female,0
Jinwei Cao,"Associate Professor of MIS, University of Delaware",18,24,1772,920,University of Delaware,female,0
Inseok Hwang,POSTECH,23,43,1769,964,,female,0
Buntarou Shizuki,University of Tsukuba,19,46,1768,832,University of Tsukuba,male,1
"Lisa Gualtieri, PhD, ScM",Tufts University School of Medicine,19,33,1767,626,Tufts University School of Medicine,female,0
Teresa Cerratto Pargman,"Professor of Human-computer interaction, Stockholm University",24,56,1766,935,Stockholm University,male,1
Morgan Klaus Scheuerman,University of Colorado Boulder,17,18,1765,1741,University of Colorado,female,0
Cihan Topal,Assoc. Prof. @ Istanbul Technical University,16,26,1764,969,Istanbul Technical University,female,0
Qi Guo,Google AI,19,26,1763,531,,male,1
Min-Chun Hu,National Tsing Hua University,21,40,1759,1016,National Tsing Hua University,female,0
Nirit Yuviler-Gavish,Braude College of Engineering Karmiel,11,12,1759,1150,Braude College of Engineering Karmiel,male,1
Andrea Vázquez-Ingelmo (https://orcid.org/0000-0002-7284-5593),"GRIAL Research Group, University of Salamanca",23,43,1757,1540,University of,male,1
Amy Pavel,"Assistant Professor of Computer Science, UT Austin",20,27,1750,1492,,female,0
Sharoda Paul,"UX Research Manager, Google",15,22,1745,580,,female,0
Ken Pfeuffer,"Assistant Professor, Aarhus University",23,33,1745,1456,Aarhus University,female,0
Nick Taylor,Newcastle University,20,32,1744,932,Newcastle University,female,0
Matjaž Debevc,"Ret. Assoc. Prof. of Computer Science, Human-Computer Interaction, University of Maribor",22,47,1740,614,University of Maribor,male,1
Roshan L. Peiris,Assistant Professor at Rochester Institute of Technology,20,41,1738,1114,Rochester Institute of Technology,female,0
Jari Takatalo,"Adjunct Professor of HCI (Univ. of Helsinki), Aalto University, Department of Computer Science",21,32,1737,538,Aalto University,male,1
Torsten Holmer,Technische Universität Dresden,12,15,1736,127,,female,0
James Prather,"Associate Professor of Computer Science, Abilene Christian University",20,27,1735,1716,Abilene Christian University,male,1
Hang-Bong Kang,"Professor of Digital Media, Catholic University of Korea",19,35,1732,889,Catholic University of Korea,male,1
Anna Divoli,"Associate Director, Data & Analytics, Lighthouse KPMG",16,19,1727,557,,male,1
Wentao Wei,"School of Design Arts & Media, Nanjing University of Science & Technology",8,8,1727,1605,School of Design Arts & Media,female,0
Tawfiq Ammari,"Assistant Professor, Rutgers University School of Communication and Information",14,16,1725,1450,Rutgers University School of Communication and Information,female,0
Christos Katsanos,"Assistant Professor of Human-Computer Interaction, Department  of Informatics, Aristotle University",22,40,1724,1186,Aristotle University,female,0
Glenn A. Fink,Pacific Northwest National Laboratory,20,30,1724,703,,female,0
Angela Chang,"MIT, TinkerStories, Southern New Hampshire University, Emerson College, Roger Williams University",15,18,1723,406,Southern New Hampshire University,female,0
Rong-Hao Liang,TU Eindhoven,22,31,1723,1089,,female,0
Monique Janneck,"Professorin für Informatik, Technische Hochschule Lübeck",21,50,1723,812,,female,0
Kwangyun Wohn,KAIST,23,43,1722,374,,male,1
Mikael Fernstrom,"Lecturer (emeritus) in Interaction Design, University of Limerick",20,33,1720,330,University of Limerick,male,1
Victor de Boer,"Associate Professor, VU University Amsterdam",21,40,1719,795,VU University,female,0
Alexander Rind,St. Pölten University of Applied Sciences,22,33,1718,910,St. Pölten University of Applied Sciences,female,0
Katerina Kabassi,Ionian University,20,43,1718,855,Ionian University,male,1
Gabriela Marcu,Assistant Professor at University of Michigan School of Information,19,31,1717,882,University of Michigan School of Information,male,1
Andrea Bianchi,"Associate Professor, Industrial Design, KAIST",25,47,1716,1031,,male,1
Daniel Gooch,Senior Lecturer at The Open University,21,33,1716,1335,The Open University,female,0
Miguel Sales Dias,Full Professor of Iscte-Sintra,20,63,1712,696,,male,1
Henrik Artman,KTH (Royal Institute of Technology),22,35,1709,347,Royal Institute of Technology,male,1
Yun-Ke Chang,Higher College of Technology,20,29,1709,871,Higher College of Technology,female,0
Bill Hamilton,"Assistant Professor, New Mexico State University",15,16,1708,1176,New Mexico State University,male,1
Richard Medina,University of Hawaii,19,29,1707,363,University of Hawaii,female,0
Maseud Rahgozar,"Professor of Computer Science, Tehran University",21,37,1704,829,Tehran University,female,0
Javier Varona,Math & Comp Sci Dept - Universitat de les Illes Balears (UIB),22,40,1703,502,,male,1
Joshua New,Oak Ridge National Laboratory,17,33,1703,998,,female,0
Lei Shi,Newcastle University,20,35,1701,1363,Newcastle University,male,1
Katsuhiko Kaji,Aichi Institute of Technology,18,45,1701,655,Aichi Institute of Technology,male,1
Marek Miłosz,"Prof. Dr., Department of Computer Science, Lublin University of Technology",19,56,1699,838,Lublin University of Technology,female,0
Alexandra Papoutsaki,"Associate Professor, Pomona College",10,11,1698,1213,Pomona College,female,0
Rachel Clarke,"Course Leader, London College of Communication",21,29,1698,1224,London College of Communication,male,1
Kaushik Subramanian,"Senior Research Scientist, Sony AI",10,10,1697,1302,,male,1
Shahzad Malik,"Computer Science, University of Toronto",16,17,1696,409,University of Toronto,male,1
kurniawan Teguh Martono,"Department of Computer Engineering, Diponegoro University",22,38,1695,1379,Diponegoro University,male,1
Xinning Gui,"Assistant Professor, College of IST, Pennsylvania State University",23,37,1689,1566,College of IST,male,1
Kent Wittenburg,"Director, Mitsubishi Electric Research Laboratories",21,21,1688,157,,male,1
Zhe Liu,Amazon Alexa AI,16,22,1686,1384,,female,0
Marta Kersten-Oertel,"Associate Professor, Concordia University Research Chair; Dept. Computer Science and Software",20,32,1686,1131,Concordia University Research Chair,female,0
Helge Hüttenrauch,"Lecturer mediatechnology, Södertörns University",16,23,1685,417,Södertörns University,female,0
Kaori Fujinami,"Professor, Tokyo University of Agriculture and Technology",18,40,1684,437,Tokyo University of Agriculture and Technology,male,1
Sofia Ouhbi,Associate Professor at Uppsala University,25,37,1682,1396,Uppsala University,female,0
Franc Jager,"Professor of Computer and Information Science, University of Ljubljana",19,31,1680,557,,female,0
Eun Hwa Jung (정은화),"Associate Professor, Kookmin University",17,19,1679,1412,Kookmin University,male,1
Eva-Lotta Sallnäs Pysander,"Professor of Human Computer Interaction, Royal Institute of Technology",20,28,1677,508,Royal Institute of Technology,female,0
T J Brailsford,"School of Computer Science and Creative Technology, UWE Bristol",21,38,1676,272,School of Computer Science and Creative Technology,female,0
Seungwoo Kang,KOREATECH (Korea University of Technology and Education),18,33,1673,539,Korea University of Technology and Education,female,0
Laura Devendorf,University of Colorado Boulder,23,35,1672,1478,University of Colorado,female,0
Michelle Annett,"MishMashMakers, Inc.",19,27,1671,857,,female,0
Bruce Ferwerda,"Associate Professor, Jönköping University",23,33,1670,1189,Jönköping University,female,0
Sophie Stellmach,Microsoft,21,26,1670,709,,female,0
Wonjae Kim,NAVER AI Lab,10,11,1670,1649,,female,0
Géza Németh,"Department of Telecommunications and Media Informatics, Budapest University of Technology and Economics",20,55,1669,472,Budapest University of Technology and Economics,female,0
Chi Xu,"China University of Geosciences (CUG), China;  A*STAR, Singapore;  HUST, China",18,21,1668,1013,China University of Geosciences,male,1
Guanyun Wang（王冠云）,"Assistant Professor, Zhejiang University",19,27,1668,1520,Zhejiang University,male,1
Achim Ebert,"Computer Graphics & HCI, TU Kaiserslautern",22,53,1667,591,,male,1
Marcos Báez,Bielefeld University of Applied Sciences,22,43,1663,1315,Bielefeld University of Applied Sciences,female,0
Masashi Nishiyama,"Professor of Faculty of Engineering, Tottori University",17,27,1662,695,Faculty of Engineering,male,1
Lung-Pan Cheng,"Associate Professor, National Taiwan University",17,18,1659,1198,National Taiwan University,male,1
Roy Shilkrot,"MIT Media Lab, Tulip, Tufts",20,32,1659,880,,female,0
Kiemute Oyibo,York University,23,50,1659,1486,York University,female,0
Denae Ford,Principal Researcher at Microsoft Research | Affiliate Assistant Professor at UW,21,30,1658,1561,,male,1
Traian Rebedea,NVIDIA & Assoc Prof @ University Politehnica of Bucharest,21,47,1657,937,University Politehnica of,female,0
Rosella Gennari,Free University of Bozen-Bolzano,22,53,1653,873,Free University,female,0
Donald Loffredo,"Professor of Psychology, University of Houston-Victoria",17,21,1653,590,University of Houston-Victoria,female,0
Seongkook Heo,Assistant Professor at University of Virginia,18,27,1652,1186,University of Virginia,male,1
Lucio Davide Spano,"Associate professor, Università di Cagliari",18,34,1651,664,,female,0
Joonhwan Lee,"Professor, Seoul National University",21,39,1651,1255,Seoul National University,female,0
Rajkumar Saini,"Senior Researcher and Lecturer, EISLAB, Machine Learning, Luleå University of Technology , Sweden",22,32,1649,1462,Luleå University of Technology,female,0
Andreas Möller,Technische Universität München,20,30,1647,589,,female,0
Yun Wang,"Senior Researcher, Microsoft Research",23,35,1647,1579,,female,0
Petr Slovak,King's College London,20,33,1645,1375,King's College London,male,1
Margit Pohl,"Associate Professor, Vienna University of Technolog",21,53,1640,677,Vienna University of Technolog,female,0
Shulan Lu,"Professor of Psychology, Texas A & M University - Commerce",12,14,1640,641,Texas A & M University - Commerce,female,0
Andrew Hogue,"Associate Professor of Game Development, UOIT",17,27,1639,561,,female,0
Samantha Finkelstein,"Doctoral student, Carnegie Mellon University",19,23,1638,837,Carnegie Mellon University,male,1
Yotam Gingold,George Mason University,22,33,1637,839,George Mason University,female,0
Suporn Pongnumkul,National Electronics and Computer Technology Center : NECTEC - Thailand,13,16,1633,1243,,male,1
Charles Perin,University of Victoria,21,29,1632,1208,University of Victoria,male,1
Xu Wang,University of Michigan,14,19,1632,1281,University of Michigan,male,1
Renwen Zhang,National University of Singapore,19,21,1628,1544,National University of Singapore,male,1
Bruno Santana da Silva,Universidade Federal do Rio Grande do Norte,11,11,1628,780,,male,1
Dr. Md. Shamim  Talukder,"Assistant Professor, Department of Management, North South University",15,15,1627,1614,North South University,female,0
Jia Zhou,Chongqing University,18,24,1621,1185,Chongqing University,male,1
Mark Bilandzic,Queensland University of Technology,19,22,1620,809,Queensland University of Technology,male,1
Alexandra Uitdenbogerd,"Associate, RMIT University; Director, Ad Hoc Software Pty Ltd/Agile Electronics",17,31,1620,349,RMIT University,male,1
David Piorkowski,IBM Research,17,21,1620,1335,,female,0
Pei-Yi (Patricia) Kuo,"National Tsing Hua University, Northwestern University",10,12,1620,910,National Tsing Hua University,male,1
Daisuke Sato,Carnegie Mellon University,23,34,1618,1112,Carnegie Mellon University,female,0
Tero Jokela,"Principal Researcher, Nokia Bell Labs",21,30,1617,662,,male,1
Jakub Złotowski,"CITEC, Bielefeld University & Queensland University of Technology",16,16,1614,1347,Bielefeld University & Queensland University of Technology,male,1
Jessica R. Cauchard,Ben Gurion University of the Negev,19,27,1613,1279,Ben Gurion University,female,0
Michael Glueck,Reality Labs Research at Meta,24,37,1612,1016,,male,1
Tejinder Judge,"User Experience Researcher, Google",17,21,1611,659,,female,0
Jae-wook Ahn,"Research Staff Member, IBM Research",19,28,1606,526,,male,1
Graham Wilson,"HCI, VR and Digital Health Researcher",21,32,1606,1031,,female,0
Hernisa Kacorri,"Associate Professor, University of Maryland, College Park",21,42,1606,1330,University of Maryland,male,1
Panagiotis Germanakos,SAP SE | National & Kapodistrian University of Athens,21,45,1606,509,SAP SE | National & Kapodistrian University of Athens,female,0
Damon Campbell,Washington University in St. Louis,12,13,1604,932,Washington University,male,1
Nadine Vigouroux,"CNRS Researcher (CR1), IRIT (CNRS-UT3), TMBI (Univ. Toulouse).",17,47,1604,467,,male,1
Masatomo Kobayashi,IBM Research - Tokyo,20,32,1602,815,,female,0
Titus Barik,Research Scientist at Apple,22,37,1600,1420,,female,0
Kathleen H. Pine,Arizona State University,22,27,1600,1275,Arizona State University,male,1
Howell Istance,"(previously) Researcher, Tampere University",20,33,1599,663,"Researcher, Tampere University",male,1
Taciana Pontual Falcão,"Assistant Professor, Universidade Federal Rural de Pernambuco (UFRPE)",18,32,1598,1031,,female,0
Alvin Wee YEO,"School of Computing and Mathematical Sciences, University of Waikato",21,44,1594,474,School of Computing and Mathematical Sciences,female,0
Mark T. Marshall,Lecturer at University of Limerick,22,36,1593,781,University of Limerick,male,1
Xin Rong,"School of Information, University of Michigan",6,6,1593,1195,"School of Information,",male,1
Barbara Barry,"Mayo Clinic, Division of Health Care Delivery Research",17,24,1593,911,,male,1
Shihong Huang,"Professor of  Electrical Engineering and Computer Science, Florida Atlantic",22,46,1592,529,,male,1
Christopher Lueg,"Professor, School of Information Sciences, University of Illinois Urbana-Champaign",21,39,1590,314,School of Information Sciences,male,1
Anke M. Brock,"Assistant Professor - ENAC, Université Toulouse, France",21,35,1588,1169,,female,0
Murni Mahmud,"Kulliyyah of Information and Communication Technology, International Islamic University Malaysia",19,43,1587,619,International Islamic University,female,0
Hannah Thinyane,Diginex,14,27,1587,496,,female,0
Shaidah Jusoh,Xiamen University Malaysia,18,29,1586,1006,Xiamen University,female,0
Silvana Roncagliolo de la Horra,Pontificia Universidad Católica de Valparaíso,18,31,1586,737,,female,0
Brock Craft,University of Washington,18,24,1584,657,University of Washington,male,1
Simon Hoermann,University of Canterbury,21,44,1581,1238,University of Canterbury,female,0
Nicholas Chen,"Microsoft Research Cambridge, UK",16,19,1577,494,,male,1
Jonathan T. Morgan,"CrowdStrike, University of Washington",18,24,1573,762,University of Washington,female,0
Wooi-Boon Goh,"School of Computer Science and Engineering, Nanyang Technological University Singapore",18,27,1572,802,School of Computer Science and Engineering,female,0
Elizabeth Stobert,Carleton University,12,13,1569,697,Carleton University,female,0
Benoit Maison,Vision Smarts,21,34,1563,315,,female,0
Anas A. Hadi,"Assistant Professor, Arab Open University, Saudi Arabia, Riyadh",13,15,1561,1514,Arab Open University,male,1
João Guerreiro,"LASIGE, Informática, Faculdade de Ciências, Universidade de Lisboa",23,35,1560,1312,,male,1
SeungJun Kim,GIST (Gwangju Institute of Science Technology),15,26,1560,817,Gwangju Institute of Science Technology,female,0
Mohammad Maifi Hasan Khan,University of Connecticut,20,37,1560,931,University of Connecticut,female,0
Mirko Gelsomini,"SUPSI, prev. Polimi, MIT, GATech",23,39,1560,1080,,female,0
Vaiva Kalnikaitė,Dovetailed,17,23,1560,640,,female,0
Vincent Koenig,University of Luxembourg,18,28,1559,1134,University of Luxembourg,female,0
Daniel Kusbit,Carnegie Mellon University,3,3,1554,1367,Carnegie Mellon University,male,1
Young Sang Choi,"Vice President, Samsung Advanced Institute of Technololgy",21,36,1550,756,Samsung Advanced Institute,male,1
Jan Van den Bergh,Hasselt University,18,33,1549,378,Hasselt University,male,1
Vivian Genaro Motti,"Associate Professor, George Mason University",20,39,1548,1067,,male,1
